Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"1,567,769","1,766,700","1,766,700","1,876,800","110,100",6.2%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"1,567,769","1,766,700","1,766,700","1,876,800","110,100",6.2%
,RUNNING COSTS,"1,567,769","1,766,700","1,766,700","1,876,800","110,100",6.2%
1400,Expenditure on Manpower - Other Statutory Appointments,"1,567,769","1,766,700","1,766,700","1,876,800","110,100",6.2%
