Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"9,726,802","12,235,300","12,235,300","12,235,300",0,0.0%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"9,726,802","12,235,300","12,235,300","12,235,300",0,0.0%
,RUNNING COSTS,,,,,,
1100,Expenditure on Manpower - Civil List (Manpower),"7,493,668","8,021,200","8,021,200","8,021,200",0,0.0%
2200,Other Operating Expenditure - Civil List (Others),"2,233,133","4,214,100","4,214,100","4,214,100",0,0.0%
