Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"394,119,467","439,099,400","423,909,300","426,443,000","2,533,100",0.6%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"345,349,448","368,765,500","358,425,300","376,732,500","18,307,200",5.1%
,RUNNING COSTS,"345,349,448","368,765,500","358,425,300","376,732,500","18,307,200",5.1%
1400,Expenditure on Manpower - Other Statutory Appointments,"58,048,957","49,255,700","51,216,300","52,222,900","1,006,600",2.0%
1500,Expenditure on Manpower - Permanent Staff,"185,035,704","198,953,000","189,720,400","207,245,300","17,524,900",9.2%
1600,"Expenditure on Manpower - Temporary, Daily-Rated & Other Staff","27,156","104,500","69,600","160,700","91,100",130.9%
2100,Other Operating Expenditure - Consumption of Products & Services,"95,542,990","112,757,100","110,635,600","108,317,200","-2,318,400",-2.1%
2300,Other Operating Expenditure - Manpower Development,"2,710,610","4,018,500","3,647,800","4,523,500","875,700",24.0%
2400,Other Operating Expenditure - International & Public Relations,"1,778,254","2,192,900","2,407,700","3,451,900","1,044,200",43.4%
2700,Other Operating Expenditure - Asset Acquisition,"1,602,685","1,483,800","625,800","811,000","185,200",29.6%
2800,Other Operating Expenditure - Miscellaneous,"3,093",0,"102,100",0,"-102,100",-100.0%
5100,Development Expenditure - Government Development,"48,770,019","70,333,900","65,484,600","49,710,500","-15,774,100",-24.1%
