Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"1,178,953","1,273,800","1,233,800","1,289,800","56,000",4.5%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"1,178,953","1,273,800","1,233,800","1,289,800","56,000",4.5%
,RUNNING COSTS,"1,178,953","1,273,800","1,233,800","1,289,800","56,000",4.5%
1500,Expenditure on Manpower - Permanent Staff,"456,198","472,600","472,600","481,100","8,500",1.8%
1600,"Expenditure on Manpower - Temporary, Daily-Rated & Other Staff","303,750","363,800","323,800","363,800","40,000",12.4%
2100,Other Operating Expenditure - Consumption of Products & Services,"415,607","426,500","426,500","430,500","4,000",0.9%
2300,Other Operating Expenditure - Manpower Development,"2,778","4,900","4,900","5,400",500,10.2%
2400,Other Operating Expenditure - International & Public Relations,620,"6,000","6,000","9,000","3,000",50.0%
