Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"16,951,587,042","17,976,573,800","19,756,573,800","20,249,571,800","492,998,000",2.5%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"16,342,970,794","17,105,263,800","18,885,263,800","19,344,181,600","458,917,800",2.4%
,RUNNING COSTS,"16,332,951,757","17,096,063,800","18,873,669,900","19,332,939,900","459,270,000",2.4%
1200,Expenditure on Manpower - Political Appointments,"2,336,032","2,459,400","2,459,400","2,459,400",0,0.0%
1500,Expenditure on Manpower - Permanent Staff,"16,039,286","15,333,000","15,333,000","15,333,000",0,0.0%
2100,Other Operating Expenditure - Consumption of Products & Services,"27,897,040","31,534,500","31,534,500","33,282,500","1,748,000",5.5%
2300,Other Operating Expenditure - Manpower Development,"102,532","166,000","166,000","166,000",0,0.0%
2400,"Other Operating Expenditure - International & Public Relations, Public Communications","6,812","20,000","20,000","20,500",500,2.5%
2800,Other Operating Expenditure - Miscellaneous,0,"2,000,000","2,000,000","2,000,000",0,0.0%
2900,Other Operating Expenditure - Military Expenditure,"16,286,570,055","17,044,550,900","18,822,157,000","19,279,678,500","457,521,500",2.4%
3600,Transfers - Transfers to Institutions & Organisations,"10,019,037","9,200,000","11,593,900","11,241,700","-352,200",-3.0%
4600,Other Consolidated Fund Outlays - Loans and Advances (Disbursement),"4,214,014","22,827,900","22,827,900","20,737,200","-2,090,700",-9.2%
5100,Development Expenditure - Government Development,"608,616,247","871,310,000","871,310,000","905,390,200","34,080,200",3.9%
5500,Other Development Fund Outlays - Land-Related Expenditure,"471,753,531","580,000,000","485,000,000","535,000,000","50,000,000",10.3%
