Project Title,Total Project Cost,Actual Expenditure Up to end of FY2021,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024
Development Expenditure,,,,,,
Government Development,,"113,242","767,000","735,000","864,000",
Audit Programme,,,,,,
Minor Development Projects,,,"113,242","767,000","735,000","864,000"
