Project Title,Total Project Cost,Actual Expenditure Up to end of FY2021,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024
Development Expenditure,,,,,,
Government Development,,"8,950,955","11,637,000","8,264,000","6,200,000",
Legal Services Programme,,,,,,
Transition of Intelligent Workspace (IW) into S-Repo/S-Net,"3,000,000",0,0,"2,021,400","1,690,300","351,200"
Legal Service Commission Secretariat,"1,260,000",0,0,"660,000","581,000","15,000"
Minor Development Projects,,,"8,909,849","8,755,600","5,603,600","5,833,800"
Completed Projects,,,"41,106","200,000","389,100",0
