Project Title,Total Project Cost,Actual Expenditure Up to end of FY2021,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024
Development Expenditure,,,,,,
Government Development,,0,"2,000,000","2,000,000","2,000,000",
Administration Programme,,,,,,
Minor Development Projects,,,0,0,0,"2,000,000"
