Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"13,060,529,784","14,600,000,000","14,080,000,000","14,752,000,000","672,000,000",4.8%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"12,890,288,841","14,150,000,000","13,748,000,000","14,132,000,000","384,000,000",2.8%
,RUNNING COSTS,"9,125,821,677","9,866,945,100","9,339,133,200","9,919,855,900","580,722,700",6.2%
1200,Expenditure on Manpower - Political Appointments,"2,561,450","3,540,400","3,020,800","3,048,200","27,400",0.9%
1500,Expenditure on Manpower - Permanent Staff,"4,169,173,174","4,650,735,900","4,205,405,400","4,550,520,800","345,115,400",8.2%
1600,"Expenditure on Manpower - Temporary, Daily-Rated & Other Staff","165,691,937","188,424,800","234,612,100","224,486,400","-10,125,700",-4.3%
2100,Other Operating Expenditure - Consumption of Products & Services,"759,800,280","815,219,100","795,567,700","877,977,900","82,410,200",10.4%
2300,Other Operating Expenditure - Manpower Development,"83,459,903","86,713,800","87,286,700","87,275,600","-11,100",0.0%
2400,"Other Operating Expenditure - International & Public Relations, Public Communications","10,624,240","11,599,900","13,916,700","9,278,900","-4,637,800",-33.3%
2700,Other Operating Expenditure - Asset Acquisition,"59,306,467","51,918,500","56,860,500","57,946,900","1,086,400",1.9%
2800,Other Operating Expenditure - Miscellaneous,"1,973,242","2,062,300","3,203,500","3,602,100","398,600",12.4%
3100,"Grants, Subventions & Capital Injections to Organisations - Grants to Statutory Boards","443,923,539","353,853,600","338,933,600","326,680,700","-12,252,900",-3.6%
3200,"Grants, Subventions & Capital Injections to Organisations - Grants to Educational Institutions","3,421,987,699","3,695,923,000","3,588,652,400","3,770,256,600","181,604,200",5.1%
3400,"Grants, Subventions & Capital Injections to Organisations - Other Organisations","7,139,743","6,953,800","11,673,800","8,781,800","-2,892,000",-24.8%
3500,Transfers - Social Transfers to Individuals,"375,787,299","422,993,800","412,700,500","521,435,900","108,735,400",26.3%
3600,Transfers - Transfers to Institutions & Organisations,"3,366,893,524","3,856,776,600","3,994,248,700","3,689,154,700","-305,094,000",-7.6%
3800,Transfers - International Organisations & Overseas Development Assistance,"1,986,340","3,284,500","1,553,500","1,360,400","-193,100",-19.0%
4600,Other Consolidated Fund Outlays - Loans and Advances (Disbursement),"189,670,788","188,501,100","194,379,300","195,475,900","1,096,600",0.6%
5100,Development Expenditure - Government Development,"97,086,672","291,728,800","170,908,300","461,656,000","290,747,700",170.1%
5200,Development Expenditure - Grants & Capital Injections to Organisations,"73,154,272","158,271,200","161,091,700","158,344,000","-2,747,700",-1.7%
