Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"3,737,272,816","4,160,818,600","4,160,818,600","4,684,953,100","524,134,500",12.6%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"3,653,370,318","4,056,950,600","4,056,950,600","4,560,874,100","503,923,500",12.4%
,RUNNING COSTS,"593,652,194","661,140,300","670,163,300","773,158,700","102,995,400",15.4%
1200,Expenditure on Manpower - Political Appointments,"1,656,917","1,480,200","1,689,100","1,512,100","-177,000",-10.5%
1500,Expenditure on Manpower - Permanent Staff,"276,623,899","279,852,700","294,123,900","380,454,300","86,330,400",29.4%
1600,"Expenditure on Manpower - Temporary, Daily-Rated & Other Staff","690,821","289,400","1,042,700","985,300","-57,400",-5.5%
2100,Other Operating Expenditure - Consumption of Products & Services,"187,971,167","219,593,400","219,162,600","269,091,300","49,928,700",22.8%
2300,Other Operating Expenditure - Manpower Development,"4,664,009","6,597,100","6,558,100","7,074,100","515,900",7.9%
2400,Other Operating Expenditure - International & Public Relations,"8,588,325","7,894,200","7,963,700","11,845,100","3,881,400",48.7%
2700,Other Operating Expenditure - Asset Acquisition,"1,525,720","1,397,300","1,205,400","1,158,100","-47,300",-3.9%
2800,Other Operating Expenditure - Miscellaneous,"18,254","146,500","29,400","35,300","5,900",20.1%
3100,"Grants, Subventions & Capital Injections to Organisations - Statutory Boards","60,715,679","79,774,400","74,047,800","71,283,500","-2,764,300",-3.7%
3200,"Grants, Subventions & Capital Injections to Organisations - Educational Institutions","143,026","267,200","267,200","29,700","-237,500",-88.9%
3400,"Grants, Subventions & Capital Injections to Organisations - Other Organisations","51,054,376","63,847,900","64,073,400","29,690,000","-34,383,400",-53.7%
3500,Transfers - Social Transfers to Individuals,"1,863,792,010","1,957,961,300","1,897,870,000","1,959,992,400","62,122,300",3.3%
3600,Transfers - Transfers to Institutions & Organisations,"1,195,926,114","1,437,849,000","1,488,917,200","1,827,723,000","338,805,800",22.8%
4600,Other Consolidated Fund Outlays - Loans and Advances (Disbursement),"2,843,069","4,789,300","4,789,300","5,022,800","233,500",4.9%
5100,Development Expenditure - Government Development,"40,828,678","56,335,000","51,169,800","88,562,900","37,393,100",73.1%
5200,Development Expenditure - Grants & Capital Injections to Organisations,"43,073,819","47,533,000","52,698,200","35,516,100","-17,182,100",-32.6%
