Account Code,Revenue Item,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
B00,Tax Revenue,"82,707,574,367","88,288,593,000","94,959,626,000","93,031,080,000","4,071,454,000",4.5
B10,Income Tax,"42,154,401,807","43,879,100,000","48,840,231,000","48,718,993,000","-121,238,000",-0.2
B11,"Corporate, Personal and Withholding Tax","40,703,583,377","43,312,977,000","48,092,314,000","48,411,163,000","318,849,000",0.7
B111,Corporate Income Tax,"23,071,841,428","24,257,656,000","28,380,065,000","28,029,268,000","-350,788,000",-1.2
B112,Personal Income Tax,"15,524,191,569","16,841,321,000","17,525,258,000","18,074,895,000","549,637,000",3.1
B113,Withholding Tax,"2,107,550,379","2,214,000,000","2,187,000,000","2,307,000,000","120,000,000",5.5
B12,Statutory Boards' Contributions,"1,450,818,430","566,123,000","747,917,000","307,830,000","-440,087,000",-58.8
B20,Assets Taxes,"5,095,254,441","5,545,020,000","5,916,584,000","6,673,029,000","756,445,000",12.8
B21,Property Tax,"5,095,254,441","5,545,020,000","5,916,584,000","6,673,029,000","756,445,000",12.8
B211,Private Properties,"4,736,668,533","5,192,738,000","5,521,647,000","6,275,740,000","753,112,000",13.6
B212,Statutory Boards,"358,462,970","352,019,000","394,114,000","397,968,000","3,858,000",1.0
B219,Other Properties,"210,705","243,000","243,000","273,000","30,000",12.3
B22,Estate Duty,"-87,767","20,000","584,000","29,000","-555,000",-95.0
B30,"Customs, Excise and Carbon Taxes","3,460,089,112","3,727,103,000","3,397,507,000","3,564,428,000","166,921,000",4.9
B31,Excise Duties,"3,246,704,486","3,500,304,000","3,187,449,000","3,350,296,000","162,847,000",5.1
B311,Petroleum Products,"1,053,483,769","1,133,923,000","1,041,671,000","1,075,449,000","60,877,000",1.0
B312,Tobacco,"1,113,826,776","1,203,785,000","1,141,405,000","1,141,405,000",0,0.0
B313,Liquors,"819,030,384","877,585,000","748,354,000","793,255,000","44,901,000",6.0
B314,Motor Vehicles,"257,036,184","279,919,000","281,546,000","338,577,000","57,031,000",20.3
B315,CNG Unit Duty,"7,356","8,000","5,000","5,000",0,0.0
B318,Other Excise Duty,"1,319,567","5,084,000","1,522,000","1,560,000","38,000",2.5
B32,Customs Duties,"1,791,566","11,566,000","9,861,000","10,452,000","591,000",6.0
B323,Liquors,"1,785,105","11,559,000","9,857,000","10,448,000","591,000",6.0
B329,Other Customs Duties,"6,461","7,000","4,000","4,000",0,0.0
B33,Carbon Tax,"211,593,060","215,233,000","200,197,000","203,680,000","3,483,000",1.7
B331,Carbon Tax,"211,593,060","215,233,000","200,197,000","203,680,000","3,483,000",1.7
