Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"226,790,699","244,300,000","238,700,000","269,000,000","30,300,000",12.7%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"217,839,743","232,663,000","230,436,000","262,800,000","32,364,000",14.0%
,RUNNING COSTS,"217,822,420","232,643,300","230,416,300","262,780,300","32,364,000",14.0%
1400,Expenditure on Manpower - Other Statutory Appointments,"7,440,170","8,400,000","7,100,000","7,600,000","500,000",7.0%
1500,Expenditure on Manpower - Permanent Staff,"158,031,357","159,337,000","160,178,000","166,953,000","6,775,000",4.2%
1600,"Expenditure on Manpower - Temporary, Daily-Rated & Other Staff","56,002","70,000","77,000","77,000",0,0.0%
2100,Other Operating Expenditure - Consumption of Products & Services,"43,290,036","47,182,500","47,394,300","67,160,700","19,766,400",41.7%
2300,Other Operating Expenditure - Manpower Development,"3,643,998","7,201,900","5,428,400","8,105,900","2,677,500",49.3%
2400,Other Operating Expenditure - International & Public Relations,"923,403","2,476,400","2,346,900","3,193,300","846,400",36.1%
2700,Other Operating Expenditure - Asset Acquisition,"210,626","172,500","88,700","186,400","97,700",110.1%
2800,Other Operating Expenditure - Miscellaneous,"566,828","4,143,000","4,143,000","844,000","-3,299,000",-79.6%
3200,"Grants, Subventions & Capital Injections to Organisations","3,660,000","3,660,000","3,660,000","8,660,000","5,000,000",136.6%
3800,Transfers - International Organisations & Overseas Development Assistance,"17,323","19,700","19,700","19,700",0,0.0%
4600,Other Consolidated Fund Outlays - Loans and Advances (Disbursement),0,"100,000","100,000","100,000",0,0.0%
5100,Development Expenditure - Government Development,"8,950,955","11,637,000","8,264,000","6,200,000","-2,064,000",-25.0%
