Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"1,038,432","1,077,400","1,017,400","3,100,000","2,082,600",204.7%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"1,038,432","1,077,400","1,017,400","1,100,000","82,600",8.1%
,RUNNING COSTS,"1,038,432","1,077,400","1,017,400","1,100,000","82,600",8.1%
1500,Expenditure on Manpower - Permanent Staff,"718,431","750,000","734,000","770,000","36,000",4.9%
2100,Other Operating Expenditure - Consumption of Products & Services,"311,450","307,400","263,400","310,000","46,600",17.7%
2300,Other Operating Expenditure - Manpower Development,"8,551","20,000","20,000","20,000",0,0.0%
5100,Development Expenditure - Government Development,0,"2,000,000","2,000,000","2,000,000",0,n.a.
